abash,,
abate,,
abet,,
abeyance,,
abhorrence,,
abhorrent,,
abhorrer,,
abject,,
abjure,renounce,
abjure,repudiate,
abnegate,,
abominate,,
abound,proliferate,
absolve,exonerate,
abstemious,austere,
abstracted,divorced,
abstruse,esoteric,
abuse,misuse,
abysmal,,
accede,,
accentuate,highlight,
accession,acquiescence,
accolade,,
accord,consensus,
accretion,,
accrue,,
acerbic,mordant,
achieve,realize,
acknowledge,,
acknowledge,recognize,
acquiescent,,
acquisition,,
acquisitive,,
acrimonious,,
acrimony,bitterness,
acumen,,
acute,severe,
ad hoc,,
adamant,,
adaptability,flexibility,
adduce,,
adept,,
adopt,,
adroit,dexterous,
adulterate,,
adversarial,antagonistic,
aesthetic,,
affable,easygoing,
affable,cordial,
affected,,
affiliated,kindred,
affinity,,
affluent,abundant,
aggrandize,,
agile,nimble,
airtight,,
alacrity,,
alarm,unsettle,
albeit,,
allegiance,,
allegorical,,
alleviate,,
alleviate,mitigate,
allure,,
allusive,,
aloof,,
alter,modify,
altruism,beneficence,
altruistic,,
amalgam,,
amalgamate,,
ambient,,
ambiguous,equivocal,
ambivalent,,
ameliorate,,
amorphous,,
ample,,
amusing,,
anachronistic,,
analogous,,
anathema,,
ancillary,,
anecdote,,
anemic,,
animadversion,,
animate,,
animus,,
anneal,,
annihilate,destroy,
annoying,unwelcome,
annul,,
anodyne,,
anomaly,aberration,
anonymous,obscure,
antagonism,,
antagonistic,adversarial,
antecedent,precursor,
antecedent to,,
antediluvian,archaic,
anthropogenic,,
anthropomorphism,,
anticipate,prefigure,
antidote,,
antiquity,,
antithetical,,
attenuate,,
attest to,,
attributed to,,
atypical,,
audacious audacity,, 
augment,extend, 
august,,
auspicious,propitious,
austere,,
authenticated,,
authoritative,definitive,
autocratic,,
autumnal,,
avant-garde,,
avaricious,rapacious,
avatar,,
aver,assert,
aversion,,
avert,forestall,
avian,,
avidity,,
avow,,
awkwardness,clumsiness,
awry,,
backbiter,,
backwater,,
balkanize,,
ballyhoo,,
banal,stale,
banish,expel,
banter,raillery,
barren,,
barring,,
baseless,untenable,
bedrock,foundation,
befuddled,,
beguile,,
belle,mask,
belie,contradict,
belittle,,
bellicose,,
belligerent,pugnacious,
bemoaned,,
bemused,,
beneficial,,
benevolence,,
benighted,,
berate,,
bereft of,,
betoken,, 
betoken,indicate,
betoken,portend,
betray,,
bland,insipid,
blasé,,
blatant,,
bleak,,
blemish,defect,
blemish,,
bludgeon,,
bogus,,
bolstering,supporting,
boon,benefit,
boorish,,
bracing,,
braggart,,
bravado,,
brazen,,
brevity,,
bridle,,
bristle,,
brook,tolerate,
bucolic,pastoral,
bumbling,,
buoy,,
buoyant,,
burdensome,,
burgeoning,expansion,
buttress,bolster,
buttress,,
by no means,,
bypass,circumvent,
byzantine,,
cache,,
cajole,,
calamity,,
callous,,
callow,,
calm,quiescence,
camaraderie,,
camouflage,,
candor,,
canned,formulaic,
canny,,
canonize,,
cantankerous,,
canvass,,
capitulate,,
capricious,impulsive,
captivate,,
capture,secure,
carping,,
castigating,chastising,
castigating,reprimanding,
casual,cursory,
cataclysmic,,
catchall,,
caterwaul,shriek,
cease,,
cede,,
celebrated,renowned,
censorious,,
censure,reprehend,
censure,reprimand,
centrifugal,,
challenge,,
champion,advocate,
chariness,,
chary,prudent,
chastening,,
chastising,,
checking,stemming,
chimera,illusion,
chivalrous,,
choleric,,
chronology,,
cipher,,
circuitous,indirect,
circumlocution,,
circumscribe,confine,
circumvent,,
cite,,
clamorous,,
clandestine,,
clannish,,
clear out,,
clement=lenient,,
clumsy,,
coddle,,
coercion,,
cogent,,
coherence,,
collaborate,,
collapse,,
collegiality,,
colossal,immense,
combine,meld,
comity,civility,
commence,,
commend,,
commensurate,,
commiserate,,
commonplace,,
compelling,,
complexion,,
complicated,knotty,
complimentary,,
composure,,
compound,,
comprehensive,sweeping,
comprehensive,exhaustive,
compromise,impair,
compulsory,,
compunction,,
concede,acknowledge,
conceivable,,
conciliatory,,
concomitant,,
concurrent,,
condone,,
conducive to~,,
conflate,,
confound,,
confused,muddled,
congeniality,,
conjectural,speculative,
connotation,,
conscientiousness,,
considerate,,
consign,,
consistent,,
consolidate,,
constrain,constrict,
constrain,,
construe,interpret,
consummate,,
contagious,,
contemplate,ponder,
contemptuous,,
contend,,
contentious,controversial,
contentious,tendentious,
contingent upon,,
contour,,
contradiction,,
contravene,infringe,
contravene,violate,
contrived,,
contumacious,,
conundrum,enigma,
convection,,
conventional,,
conversant,,
convey (ideas),impart,
convictive,persuasive,
convoluted,,
convoluted,tortuous,
copious,,
corroborate,,
corrosive,,
countenance,,
countermand,,
counterproductive,,
coveted,enviable,
covetous,,
cower,,
crassness,,
craven,,
credulous,trusting,
croon,,
crucial,critical,
cue,,
culmination,,
culpability,,
culprit,,
cultivate,,
cumbersome,unwieldy,
cursory,perfunctory,
curt,,
curtail,,
cynical,,
dampen,deaden,
dangerous,perilous,
daunt,,
dead,inactive,
dead,inert,
dearth,,
debacle,,
debilitate,,
debunk,,
decay,deterioration,
deceitful,,
deceleration,,
decisive,unmistakable,
decorum,,
decrepit,,
decrepitude,,
decry,,
defender,proponent,
defer,,
deference,,
deferential,,
defied,disregarded,
definitive,authoritative,
deflate,,
deflect,shrug off,
deft,,
defy,disregard,
defied,,
deign,,
deject,,
delegate,,
deleterious,,
delirious,,
delude,,
demanding,,
demarcation,,
demise,,
demolished,,
demonstrate,,
demur,,
denigrate,,
denounce,lambaste,
denude,,
denude,,
denunciation,,
deplete,,
deploy,,
depraved,,
deprecate,,
derelict,,
deride,,
derisive,,
derivative,,
design,purposefulness,
despondent,,
deteriorate,,
detest,,
detract,deprecate,
detractor,,
detrimental,,
deviate,mislead,
devious,,
devolve,,
dexterous,nimble,
diagnose,,
dialect,,
diatribe,criticism,
diatribe,rant,
dichotomous,contradictory,
dichotomy,,
dictatorial,,
didactic,,
diffident,,
diffident,timid,
diffuse,spread,
diffusive,,
digress,,
digressional,,
dilatory,,
dilettante,,
dim,,
dim,darken,
diminutive,minuscule,
disabuse,,
disallow,,
disarmed,,
disarray,,
disavow,,
disavow,,
disband,,
discard,,
discern,detect,
discerned,discovered,
discernible,,
discerning,,
discernment,,
disconcerting,,
discredit,,
discreet,,
discrepancy,incongruity,
discrete,,
discretion,,
discretionary,,
discursion,,
discursive,analytical,
disdain,,
disequilibrium,,
disgorge,,
disinclined to,,
disinformation,mendacity,
disingenuous,,
disinterested,impartial,
disjunctive,dividing,
dismal,,
dismantle,,
dismiss,,
dismissive,,
disparage,slight,
disparaging,,
disparate,,
disparity,variance,
dispassionate,,
dispatch,celerity,
dispatch,expedition,
dispel,,
dispense with,,
dispirited,,
displeased,,
disregard,defy,
disrupt,,
disseminate,transmit,
dissent,,
dissident,,
distasteful,,
distend,,
distinct,discrete,
distort,,
diverge,,
divergent,disparate,
divisive,,
dogmatic,,
dormant,,
doubted,questioned,
dour,,
douse,extinguish,
dovish,peaceful,
downplay,,
draconian,,
drawback,,
dreary,tedious,
drollness,,
dubious,,
dumbfounded,,
dwindling,contracting,
easygoing,,
ebb,,
ebullient,,
eccentric,,
eclectic,,
ecstasy,euphoria,
ecumenical,,
edible,,
edifying,,
efface,,
efficacy,,
effrontery,,
effusive,emotional,
effusive,,
egalitarian,,
egregious,flagrant,
elaborate,,
elementary,rudimentary,
elicit,draw,
elicit,evoke,
elucidate,,
elusive,slippery,
emblematic,totemic,
emblematic,symbolic,
emendation,revision,
empathy,,
empirical,,
empiricist,,
emulate,,
enamor,favor,
enamored,,
encoded,,
encomium,tribute,
encroachment,,
encumber,,
encyclopedic,exhaustive,
endemic,,
endorse,,
endurance,tenacity,
enervate,,
enfeeble,,
engaging,winning,
engender,,
enhance,,
enigma,,
enjoin,,
ennui,,
entangle,,
entice,,
entrenched,,
ephemeral,short-lived,
epitome,,
equity,,
equivalent,,
equivocal,,
erode,,
erratic,,
erstwhile,onetime,
erudite,learned,
erudition,,
escapade,,
eschew,,
esoteric,recondite,
espouse,champion,
essential,indispensable,
estrange,,
ethos,,
eulogize,,
euphoria,ecstasy,
euphoric,,
evanescent,,
evasive,elusive,
evenhanded,,
exacerbated,aggravated,
exaction,extortion,
exactitude,meticulousness,
exaggeration,hyperbole,
exalt,valorize,
exasperate,,
excavation,,
exclusive,,
excoriate,denounce,
excoriate,crab,
exculpate,,
excuse,,
exemplar,model,
exemplary,,
exhaustive,comprehensive,
exile,,
exonerate,,
exotic,,
expansion,augmentation,
expansive,,
expatriate,,
expedient,,
expedite,,
expel,oust,
experimental,innovative,
exploit,,
exploitative,,
expostulation,,
extemporize,,
extensive,,
extenuate,,
extinguish,,
extirpate,eradicate,
extol,,
extraneous,irrelevant,
extravagant,,
extremist,zealot,
extricate,,
exuberant,,
facetious,,
facile,,
facilitate,further,
factionousness,schism,
factual,,
faddish,,
fairness,objectivity,
fallacious,deceptive,
fallacy,,
far-reaching,,
fastidious,,
fatuous,,
faultless,perfect,
fealty,,
feckless,,
fecund,,
feeble,,
feigned,false,
feisty,,
feral,,
fervent,,
fickle,,
fiery,impassioned,
finicky,,
fitting,apposite,
flagging,,
flagrant,,
flamboyant,,
flawless,,
flexibility,suppleness,
flippancy,,
flippant,,
flourish,,
flout,,
fluctuate,,
flummox,confound,
foible,,
forage,,
forbear,,
forbidden,,
forebear,,
foreboding,,
forensic,,
foreordain,predestine,
forestall,,
foretell,,
forge,,
forgo,,
formidable,,
formulaic,,
fortuitous,accidental,
foster,cultivate,
foster,spur,
fractious,restive,
fractious,,
fraught,,
friable,,
friendliness,geniality,
fringe,marginal,
frustrating,,
fungible,,
fungible,interchangeable,
furtive,,
fustian,pompous,
fusty,outmoded,
futility,pointlessness,
gadget,,
gainsay,,
galling,,
galvanize,animate,
garble,,
garner,,
garrulous,loquacious,
gauge,,
generality,abstraction,
generic,inclusive,
geniality,,
genteel,,
germane,,
give way to,,
glean,collect,
gossamer,,
grandstanding,,
graphically,vividly,
grateful,,
gratify,please,
gravitas,,
gregarious,,
gridlock,,
gripping,,
guarantee,,
guile,deviousness,
guzzle,,
hackneyed,,
haggle,cavil,
hailed,acclaimed,
halfhearted,,
hallow,respect,
hallow,consecrate,
hamper,impede,
hamstring,impair,
haphazard,,
harbinger,herald,
harbor,,
hard-pressed,,
hardy,,
harmless,innocuous,
haughty,,
headway,,
heartless,callous,
hectic,,
hegemony,,
hermetic,,
heterogeneous,disparate,
heterogeneous,dissimilar,
hew to=conform,,
hierarchical,stratified,
high-handed,,
hinder,,
hindrance,handicap,
historic,,
historical,,
hitch,snag,
hodgepodge,patchwork,
homogeneity,resemblance,
homogenous,,
hone,enhance,
honorific,,
hortatory,,
hostility,,
hubris,,
hubristic,arrogant,
humble,,
humdrum,,
hypocrisy,,
hypothesis,,
iconoclastic,,
idiosyncratic,,
ignore,overlook,
illegitimate,,
imbibe,quaff,
immense,,
immobilize,,
impassionate,,
impassive,,
impeccable,,
impecunious,indigent,
impediment,,
impenetrable,,
imperial,,
imperil,,
imperious,dictatorial,
impermeable,,
impertinence,,
imperturbability,,
imperturbable,,
impervious,,
impetuous,,
implacable,unyielding,
implausible,,
imprecise,,
improbable,unlikely,
impugn,,
impulsive,,
in retrospect,,
inaccessible,opaque,
inborn,innate,
inchoate,rudimentary,
incipient,,
incisive,,
incongruous,,
inconsequential,trivial,
inconsequentially,,
incorruptibility,,
incremental,,
incriminate,,
indefatigable,,
indifferent,,
indigenous,,
indigent,,
indirect,circuitous,
indispensable,,
indolence,,
indubitable,,
inductive,,
indulge,,
industrious,,
inept,,
ineptitude,,
inert,,
inertial,,
inexplicable,incomprehensible,
infatuate,,
infeasible,,
infelicitous,,
inferable,entailed,
inflammatory,provocative,
ingenious,,
ingenuous,,
ingrained,,
inherent,,
inhibit,,
inimical,,
injudicious,,
innocuous,,
inscrutable,,
insipid,,
insist,,
insolent,,
insolvency,,
insouciance,,
instigate,,
insufficient,meager,
insular,,
insulate,,
intangible,,
integrity,,
intelligible,readable,
intensify,,
interchangeable,,
interminable,,
intervene,,
intractable,stubborn,
intransigence,obduracy,
intransigent,,
intricate,convoluted,
intriguing,,
intrinsically,,
intuitive,,
inured,,
inveigle,,
invigorate,energize,
invulnerable,,
irascibility,exasperation,
irascible,irritable,
irk,,
ironically,paradoxically,
irrelevant,extraneous,
irresolute,,
itinerant,,
jargon,,
jarring,,
jaundice,,
jejune,vapid,
jettison,,
jibe with,agree with,
judicious,,
juxtaposition,,
keep ~ at bay,,
kindred,,
knotty,,
labyrinth,,
laconic,taciturn,
laissez faire,,
lambaste,,
lament,,
lampoon,,
languish,,
lapse,,
largesse,,
lascivious,,
lassitude,,
laud,extol,
leeway,,
legitimacy,,
legitimize,,
lenient,,
lethargic,slumberous,
leveling,,
levy,,
limited,scant,
limiting,confining,
limpid,pellucid,
list,tilt,
listless,,
livid,,
loathe,,
lopsided,,
loquacious,,
lucidity,clarity,
lucrative,,
ludicrous,risible,
lugubrious,gloomy,
lull,respite,
luminous,,
lurch,,
lure,,
lurid,,
luxuriant,rampant,
macabre,,
magnanimity,,
mainstay,,
maintain,,
make known,,
maladroit,,
malady,,
malfeasance,fraudulence,
malign,,
malleable,,
malodorous,noisome,
maneuver,,
manifest [v],reveal,
manifest[adj],self-evident,
manifestation,,
manipulation,,
marginal,peripheral,
maturity,precociousness,
maverick,nonconformist,
meager,,
meddlesome,,
mediocre,,
melancholy,,
meliorate,,
mellow,,
mendacious,,
mercenary,,
meretricious,,
meticulous,thorough,
meticulous,,
minimal,trifling,
minion,,
miniscule,,
miscellaneous,,
misconstrue,,
misgivings,"apprehension,trepidation,",
misguided,,
mishandled,,
mitigate,,
mitigate,abate,
mixed,inconsistent,
mnemonic,,
mock,,
mockery,derision,
modern,advanced,
modest,,
mollified,,
momentary,evanescent,
monolithic,,
monotonous,,
moribund,,
morose,,
muffle,muffled로 줄제,
multidimensional,,
multifaceted,,
mundane,,
murky,,
mutable,,
nadir,,
naïve,unsophisticated,
naivete,,
nascent,,
naysay,,
nebulous,vague,
nefarious,,
negligence,,
negligible,,
neophyte,,
nepotistic,,
nitpicking,,
nobility,,
noisome,,
nomadic,itinerant,
nonconformist,,
nondescript,,
not fail to,,
notwithstanding,,
novel,original,
novelty,,
novice,tyro,
nugatory,,
numinous,occult,
nurture,,
obedience,,
obeisance,,
obfuscate,obscure,
obfuscatory,,
obligate,,
oblivious,,
obscuring,,
obsequious,sycophantic,
obsolete,outmoded,
obstreperous,,
obtain,glean,
obtrusive,,
obtuse,,
obviate,,
occlude,,
officious,,
offset,,
ominous,inauspicious,
omnipresent,universal,
omniscient,,
on a par with~,,
onerous,,
onset,,
opaque,,
opportunism,,
oppositional,,
opprobrious,,
opprobrium,disdain,
order,stability,
original,,
ornate,,
orthodox,,
oscillating,,
ostensibly,,
ostentatious,,
oust,,
outdated,,
outlandish,,
outmoded,,
outstanding,,
overestimate,,
overhaul,,
overload,,
overlook,neglect,
overmodest,,
overrate,,
overstate,,
overtly,,
overwrought,,
pacific,dovish,
paean,,
palatable,,
palliate,,
palpable,,
paltry,meager,
panacea,cure-all,
panache,,
panegyrize,,
paradigm,model,
paraphernalia,,
parity,equality,
parochial,provincial,
parsimonious,,
partisan,,
passe,,
pastiche,,
patchwork,hodgepodge,
paucity,,
peccadillo,,
pedagogy,,
pedant,,
pedantic,,
pedestrian,,
pejorative,,
pellucid,,
pensive,,
perceptive,discerning,
perennial,,
perennial,long-standing,
perfunctory,,
peripheral,,
permeable,,
pernicious,,
perpetrate,,
perplexity,,
persevere,,
persistence,survival,
personification,,
pertinent,,
pervasive,,
petulant,,
phlegmatic,,
pigeonhole,,
pilferage,appropriation,
pine for,,
pinpoint,,
pioneering,,
pitfall,,
pithy,,
placable,,
placate,appease,
placidity,,
plaintive,,
plangent,,
plastic,,
platitudinous,,
plausible,,
plethora,surfeit,
pliable,,
ploy,,
plummet,,
plunder,,
polarizing,,
polemical,,
polymathic,encyclopedic,
pomposity,,
ponder,,
portend,predict,
potent,,
pragmatic,,
praiseworthy,,
preachy,sanctimonious,
precarious,,
precarious,perilous,
precipitate,,
preclude,,
preclude,rule out,
preconception,prejudice,
precursor,forerunner,
predator,,
predecessor,,
predicament,,
predilection,proclivity,
prepossessing,,
presage,portend,
prescient,prophetic,
preserving,safeguarding,
presumptuous,,
presuppose,,
pretentious,,
preternatural,,
pretext for,,
prevailing,,
prevalent,extensive,
prevalent,widespread,
prevent,preclude,
pristine,,
private,insular,
privation,,
probity,,
proclaim,profess,
proclivity,,
procreate,,
prodigious,,
profit-mongers,,
profligate,,
proliferation,,
prolong,,
prominence,salience,
promulgate,declare,
prophetic,,
prophylactic,preventive,
propitious,,
proponent,,
proportionate,,
proprietary,,
prosaic,,
proscribe,,
proscription,,
protean,versatile,
protest,,
prototypical,,
protract,,
provincial,,
provocative,,
proxy,,
prudence,,
prudent,circumspect,
pseudonym,,
puerile,,
pugnacious,cantankerous,
pull no punches,,
punctiliousness,,
punctuality,,
pungent,,
purport,,
purveyor,,
purview,,
pushover,,
puzzle,conundrum,
quash,,
quibble,,
quiescence,,
quip,,
quirky,unconventional,
quixotic,idealistic,
rampant,,
ramshackle,,
rancor,,
rant,diatribe,
rapacious,avaricious,
rapacity,,
realism,verisimilitude,
realize,achieve,
rebellious,,
rebound,,
rebuff,,
rebuke,,
recalcitrant,restive,
remuneration,,
renounce,reject,
replete,,
reproach,,
reproof,censuring,
repudiate,recant,
repugnant,,
rescind,,
resemble,,
resent,,
reserved,,
resign to = cede to,,
resonate,,
resort,,
resourcefulness,,
respite,relief,
responsive,,
restive,,
restorative,tonic,
restrained,,
resurgence,revival,
resurgent,,
reticent,,
reveal,manifest,
reverence,,
reverent,,
revert to,,
revival,renaissance,
riddle,conundrum,
ring out,,
risible,,
robust,strong,
roil,,
rosy,,
row,,
rudimentary,sketchy,
rusting,,
sabotage,,
saccharine,,
sacrosanct,,
saddle,,
sagacious,[sagacity-n],
sage,,
salacious,,
salient,visible,
salubrious,,
salutary,,
sanctimonious,,
sanction,endorse,
sanguine,,
scant,limited,
scanty,,
scarce,,
scathing,,
schism,factiousness,
scintillating,,
scratching,,
scrutinize,,
sectarian,,
seditious,,
sedulous,,
self-absorption,,
self-containing,,
self-effacing,,
self-interest,opportunism,
selfless,altruistic,
self-perpetuating,,
self-regard,,
self-righteous,,
self-serving,,
seminal,,
senescence,decrepitude,
senile,,
sensible,,
sententious,,
sequester,,
shackle,stifle,
sham,,
shift,,
shortcoming,fault,
short-lived,ephemeral,
showy,,
shriek,,
shun,,
sidestep,circumvent,
sifted from,,
simplicity,intelligibility,
singular,unique,
skeptical,,
skew,,
skirt,,
skittish,restive,
skulduggery,,
slapdash,,
sleazy,,
slippery,elusive,
slogan,,
slumber,,
slurs,aspersions,
smuggle,,
snub,,
sober,,
solemn,,
solemnity,,
solicitous,,
solidarity,camaraderie,
solidify,,
somnolent,lethargic,
sonorous,,
soothsayer,,
sophist,,
sophistication,,
soporific,,
sordid,,
spacious,,
sparing,,
specious,spurious,
speculation,conjecture,
speculative,conjectural,
spike,,
spirited,vigorous,
spontaneity,,
spontaneous,,
sporadic,,
spur,foster,
spurious,"specious,mendacious",
spurn,,
spurring,fostering,
square with,conform to,
staggering,,
stagnate,,
stale,,
stalwart,,
stark,,
starkly,,
staunch,,
steadfast,,
steer,,
stemming,checking,
stern,,
stifle,,
stigma,,
stigmatize,,
stingy,parsimonious,
stoicism,,
stratification,,
stratified,hierarchical,
striking,pronounced,
stunning,,
stymie,hinder,
subjective,,
subservient,,
substantiate,,
subterfuge,chicanery,
subtle,,
subtlety,,
subversive,,
subvert,,
succeeding,,
successively,sequentially,
succumb,yield,
sullen,surly,
sullied,,
superannuation,,
supercilious,imperious,
superficial,sketchy,
superfluous,,
supersede,replace,
supplant,,
supportive,,
supposition,,
suppress,,
surefit,,
surfeit,glut,
surge,,
surmise,infer,
surmount,,
surreptitious,,
swagger,,
sway,,
sweeping,comprehensive,
swift,,
swill,guzzle,
sycophant,adulator,
sympathetic,,
synopses,,
tacit,,
taciturn,reserved,
tactful,skillful,
taint,,
take on,,
tangent,,
tangential,,
tangible,,
tantamount to,synonymous with,
tarnish,,
taxing,,
tedious,boring,
teem,,
temerity,,
temper,moderate,
temperance,,
temperate,,
tempestuously,,
tenacious,,
tendentious,,
tenor,,
tentative,,
tenuous,,
tepid,,
terse,"laconic, brief,",
theoretical,conceptual,
thoughtful,,
thrive,,
thwart,,
tilt,list[기울기],
timely,opportune,
timid,diffident,
timorous,,
tonic,,
torpid,,
torpor,,
torrid,,
tout,,
tractable,,
trammel,,
transcend,,
transient,,
transitional,,
transitory,ephemeral,
transparent,,
trenchant,profound,
trendy,,
trepidation,apprehension,
trespass,,
trickster,,
trifling,minimal,
trivialize,,
truculent,,
truncate,,
turbulence,,
ubiquitous,,
unabated,undiminished,
unalloyed,unqualified,
unassailable,,
unassuming,modest,
unavoidable,inevitable,
uncanny,,
uncertain,conjectural,
unconventional,"quirky,original",
unctuous,,
undercut,,
underemphasized,,
undergrid,support,
undermine,"subvert,impair",
undeserved,unexpected 가능,
undeveloped,sketchy,
undiminished,,
undistinguished,,
unearth,,
unencumbered,,
unequivocal,,
unexceptional,nondescript,
unexplored,,
unfamiliarity,ignorance,
unfathomable,,
unfazed,,
unfeeling,,
unflagging,unfatigued,
unfortunate,,
unfounded,baseless,
ungainly,,
unimpeachable,blameless,
unique,singular,
unkempt,,
unlinked,estranged,
unobtrusive,,
unorthodox,,
unostentatious,modest,
unprecedented,abnormal,
unprepossessing,unremarkable,
unremarkable,,
unremitting,incessant,
untenable,,
unwarranted,groundless,
unwillingly,reluctantly,
unwitting,,
upend,,
uprightness,,
utilitarian,functional,
vacant,,
vacillate,,
vacillate,fluctuate,
vacillation,irresolution,
vacuous,,
vacuousness,paucity,
vainglorious,,
valorize,exalt,
vanish,,
vapid,,
variety,,
varnish,,
vary,,
vehement,,
velocity,,
venerable,respected,
veneration,,
venomous,,
veracious,,
veracity,truth,
verbose,prolix,
verisimilitude,realism,
versatile,,
vestige,relic,
vex,,
vicarious,,
vigor,,
vigorous,spirited,
vilify,censure,
vindication,,
vindictive,,
virtue,merit,
virtuoso,,
visceral,,
visibility,,
visible,salient,
vitiate,,
vitriol,opprobrium,
vitriolic,,
vituperation,,
vivacity,,
vociferous,,
volatile,,
volatile,capricious,
voluble,,
voracious,,
vulnerable,,
waggish,,
wane,,
waning,,
waning,"declining, ebbing",
warbling,,
wary,,
wayward,errant,
wealth,profusion,
wearisome,,
weaving,,
well-defined,,
wherewithal,,
whimsical,,
whimsy,,
winning,,
winnow,,
wistful,,
withdrawn,,
witless,dense[아둔한],
workaday,quotidian,
yield,engender,
zeal,,
zealous,impassioned,
zenith,,
meretricious,showy,
complacency,,
risible,facetious,
sycophantic,obsequious,
maundering,,
screed,tedious speech,
irenic,,
simmer with,,
squelch,,
sparingly,,
catholic,,
underscore,highlight,
nebulous,vague,
approbation,adulation,
redemptive,,
decry,,
